puid,stratum,STATECD,ESTN_UNIT,STRATUMCD,INTENSITY,EVALID,END_INVYR
57364_41_59,17403041,41,3,174,1,411703,2017
73217_41_59,16703041,41,3,167,1,411703,2017
93920_41_61,11002041,41,2,110,1,411803,2018
51487_41_61,7201041,41,1,72,1,411803,2018
94003_41_61,5901041,41,1,59,1,411703,2017
82276_41_61,5801041,41,1,58,1,411803,2018
64005_41_61,5901041,41,1,59,1,411703,2017
82372_41_61,15703041,41,3,157,1,411703,2017
89624_41_45,12303041,41,3,123,1,412103,2021
82169_41_45,14003041,41,3,140,1,411703,2017
93394_41_45,12303041,41,3,123,1,411803,2018
60990_41_45,12303041,41,3,123,1,411703,2017
72257_41_45,12303041,41,3,123,1,411803,2018
53212_41_45,12303041,41,3,123,1,411703,2017
92793_41_45,12303041,41,3,123,1,411803,2018
72427_41_45,12303041,41,3,123,1,411703,2017
67754_41_61,16703041,41,3,167,1,411703,2017
71688_41_61,4601041,41,1,46,1,411803,2018
53967_41_61,15703041,41,3,157,1,411703,2017
70329_41_61,15703041,41,3,157,1,411703,2017
51319_41_61,5601041,41,1,56,1,411803,2018
58717_41_61,15703041,41,3,157,1,411703,2017
90063_41_61,15703041,41,3,157,1,411703,2017
89808_41_61,16703041,41,3,167,1,411703,2017
75892_41_25,12303041,41,3,123,1,411803,2018
72122_41_39,5301041,41,1,53,1,411803,2018
84943_41_39,18703041,41,3,187,1,411703,2017
76236_41_23,1801041,41,1,18,1,411703,2017
56313_41_23,1601041,41,1,16,1,411703,2017
92512_41_25,12303041,41,3,123,1,411703,2017
88084_41_25,17403041,41,3,174,1,411703,2017
56070_41_23,1801041,41,1,18,1,411703,2017
79860_41_25,12303041,41,3,123,1,411803,2018
67028_41_25,12303041,41,3,123,1,411803,2018
96368_41_13,15803041,41,3,158,1,411703,2017
59663_41_37,16603041,41,3,166,1,411703,2017
82207_41_69,4501041,41,1,45,1,411803,2018
62770_41_25,12303041,41,3,123,1,411803,2018
84627_41_23,17403041,41,3,174,1,411703,2017
98689_41_25,12303041,41,3,123,1,411803,2018
85290_41_25,14003041,41,3,140,1,411703,2017
87219_41_45,12303041,41,3,123,1,411703,2017
88170_41_45,12303041,41,3,123,1,412103,2021
81854_41_1,15703041,41,3,157,1,411703,2017
84067_41_61,10902041,41,2,109,1,411803,2018
58316_41_45,17403041,41,3,174,1,411703,2017
95675_41_45,12303041,41,3,123,1,411803,2018
91314_41_61,17403041,41,3,174,1,411703,2017
64056_41_45,12303041,41,3,123,1,411803,2018
95662_41_45,12303041,41,3,123,1,411803,2018
65419_41_1,8901041,41,1,89,1,411703,2017
55438_41_1,5801041,41,1,58,1,411803,2018
76031_41_1,17403041,41,3,174,1,411703,2017
57233_41_1,15703041,41,3,157,1,411703,2017
51158_41_1,15703041,41,3,157,1,411703,2017
91455_41_45,12303041,41,3,123,1,411803,2018
96408_41_1,17403041,41,3,174,1,411703,2017
77711_41_45,12303041,41,3,123,1,411803,2018
94443_41_45,17403041,41,3,174,1,411703,2017
92260_41_59,8801041,41,1,88,1,411703,2017
71027_41_45,12303041,41,3,123,1,411803,2018
55603_41_45,15703041,41,3,157,1,411703,2017
72397_41_59,17403041,41,3,174,1,411703,2017
94924_41_23,10602041,41,2,106,1,411803,2018
98813_41_23,4701041,41,1,47,1,411803,2018
69443_41_59,15703041,41,3,157,1,412103,2021
60048_41_25,12303041,41,3,123,1,411703,2017
86232_41_49,17403041,41,3,174,1,411703,2017
76361_41_59,17403041,41,3,174,1,411703,2017
79824_41_25,12403041,41,3,124,1,411703,2017
92305_41_23,1801041,41,1,18,1,411703,2017
74155_41_25,12303041,41,3,123,1,411703,2017
60726_41_25,12303041,41,3,123,1,411703,2017
79015_41_59,15703041,41,3,157,1,412103,2021
87336_41_25,17403041,41,3,174,1,411703,2017
62285_41_23,15803041,41,3,158,1,411703,2017
78518_41_25,15703041,41,3,157,1,411703,2017
54339_41_59,17003041,41,3,170,1,411703,2017
95284_41_63,9901041,41,1,99,1,411803,2018
70497_41_25,12303041,41,3,123,1,411703,2017
61052_41_25,12303041,41,3,123,1,411703,2017
82708_41_23,17403041,41,3,174,1,411703,2017
54609_41_49,17403041,41,3,174,1,411703,2017
67068_41_49,17403041,41,3,174,1,411703,2017
63293_41_25,12303041,41,3,123,1,411703,2017
72503_41_25,17403041,41,3,174,1,411703,2017
65268_41_25,12303041,41,3,123,1,411803,2018
90873_41_25,12303041,41,3,123,1,411803,2018
68721_41_13,17403041,41,3,174,1,411703,2017
70486_41_13,17403041,41,3,174,1,411703,2017
79759_41_13,17403041,41,3,174,1,411703,2017
61798_41_13,8401041,41,1,84,1,411703,2017
91968_41_37,12303041,41,3,123,1,411703,2017
67648_41_37,12303041,41,3,123,1,411703,2017
84088_41_13,18903041,41,3,189,1,411703,2017
51938_41_59,17403041,41,3,174,1,411703,2017
70991_41_23,17803041,41,3,178,1,411703,2017
89895_41_45,12303041,41,3,123,1,411703,2017
92884_41_13,17403041,41,3,174,1,411703,2017
62610_41_29,3901041,41,1,39,1,411803,2018
59001_41_35,15703041,41,3,157,1,411703,2017
99451_41_35,15703041,41,3,157,1,411703,2017
77303_41_35,17403041,41,3,174,1,411703,2017
51961_41_35,11803041,41,3,118,1,411703,2017
61738_41_35,12203041,41,3,122,1,411803,2018
83112_41_35,10502041,41,2,105,1,411803,2018
75871_41_35,14603041,41,3,146,1,411703,2017
77558_41_35,15703041,41,3,157,1,411703,2017
51212_41_17,9501041,41,1,95,1,411803,2018
85658_41_17,401041,41,1,4,1,411703,2017
99383_41_17,501041,41,1,5,1,411803,2018
88412_41_17,11402041,41,2,114,1,411703,2017
83121_41_17,401041,41,1,4,1,411703,2017
87905_41_17,11302041,41,2,113,1,411703,2017
54369_41_17,11302041,41,2,113,1,411703,2017
57666_41_25,12303041,41,3,123,1,411803,2018
86307_41_25,11903041,41,3,119,1,411703,2017
61032_41_59,17403041,41,3,174,1,411703,2017
52836_41_25,12403041,41,3,124,1,411703,2017
98972_41_49,7101041,41,1,71,1,411803,2018
70202_41_25,12303041,41,3,123,1,411703,2017
92194_41_45,17403041,41,3,174,1,411703,2017
94579_41_25,12403041,41,3,124,1,411703,2017
91770_41_25,12303041,41,3,123,1,411703,2017
60147_41_61,6001041,41,1,60,1,411703,2017
69431_41_25,12303041,41,3,123,1,411703,2017
68397_41_59,17403041,41,3,174,1,411703,2017
50592_41_59,15703041,41,3,157,1,412103,2021
51363_41_49,17403041,41,3,174,1,411703,2017
59500_41_37,12303041,41,3,123,1,411703,2017
75454_41_25,12303041,41,3,123,1,411703,2017
70550_41_25,12303041,41,3,123,1,411803,2018
86856_41_69,17403041,41,3,174,1,411703,2017
63508_41_49,4801041,41,1,48,1,411803,2018
69765_41_37,12303041,41,3,123,1,411803,2018
62515_41_13,17403041,41,3,174,1,411703,2017
51230_41_31,15703041,41,3,157,1,411703,2017
99141_41_31,7001041,41,1,70,1,411803,2018
59844_41_37,10102041,41,2,101,1,411803,2018
89384_41_65,19003041,41,3,190,1,411703,2017
64827_41_37,18503041,41,3,185,1,411703,2017
76474_41_13,11803041,41,3,118,1,411803,2018
74167_41_13,12403041,41,3,124,1,411703,2017
87436_41_17,15703041,41,3,157,1,411703,2017
53641_41_35,15703041,41,3,157,1,411703,2017
94653_41_37,7701041,41,1,77,1,411703,2017
57696_41_17,12303041,41,3,123,1,411803,2018
62605_41_35,18403041,41,3,184,1,411703,2017
74361_41_35,12303041,41,3,123,1,411703,2017
90759_41_37,1201041,41,1,12,1,411703,2017
52981_41_17,12303041,41,3,123,1,411803,2018
83707_41_17,301041,41,1,3,1,411703,2017
64208_41_17,301041,41,1,3,1,411703,2017
93631_41_27,10302041,41,2,103,1,411803,2018
50355_41_29,3901041,41,1,39,1,411803,2018
80225_41_29,3901041,41,1,39,1,411803,2018
57546_41_17,601041,41,1,6,1,411803,2018
55577_41_17,501041,41,1,5,1,411803,2018
63028_41_17,401041,41,1,4,1,411703,2017
59785_41_25,11803041,41,3,118,1,411803,2018
67592_41_25,12303041,41,3,123,1,411803,2018
71705_41_41,11803041,41,3,118,1,411703,2017
81288_41_41,4201041,41,1,42,1,411703,2017
51152_41_49,15703041,41,3,157,1,411703,2017
78332_41_49,17403041,41,3,174,1,411703,2017
85835_41_49,12303041,41,3,123,1,411703,2017
52456_41_49,17403041,41,3,174,1,411703,2017
77906_41_49,17403041,41,3,174,1,411703,2017
88740_41_61,5801041,41,1,58,1,411803,2018
56545_41_63,11602041,41,2,116,1,411803,2018
53535_41_63,5501041,41,1,55,1,411803,2018
99932_41_63,9901041,41,1,99,1,411803,2018
99346_41_63,15803041,41,3,158,1,411703,2017
84467_41_63,17403041,41,3,174,1,411703,2017
67129_41_63,15703041,41,3,157,1,411703,2017
